k,timestamp,PV_level (cm),PV_flow (VDC),dPVflow,dt,Q_FT (lt/min)
1,0.000997304916381836,4.809177608381744,-0.00015259021896696368,-0.00015259021896696368,1678379619.6138005,-7.143337150995783e-14
2,0.14261865615844727,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
3,0.2842433452606201,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
4,0.42386960983276367,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
5,0.5804517269134521,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
6,0.6811788082122803,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
7,0.802854061126709,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
8,0.9155585765838623,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
9,1.055182933807373,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
10,1.1559100151062012,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
11,1.2815992832183838,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
12,1.4132227897644043,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
13,1.5139527320861816,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
14,1.6146838665008545,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
15,1.7553083896636963,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
16,1.8909459114074707,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
17,2.0325703620910645,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
18,2.133298397064209,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
19,2.2719292640686035,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
20,2.389615535736084,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
21,2.513315439224243,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
22,2.6249847412109375,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
23,2.725717306137085,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
24,2.8264451026916504,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
25,2.960090398788452,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
26,3.1057002544403076,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
27,3.2084243297576904,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
28,3.3311007022857666,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
29,3.4697256088256836,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
30,3.615337610244751,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
31,3.7160680294036865,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
32,3.8447229862213135,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
33,3.945455551147461,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
34,4.08208966255188,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
35,4.1828203201293945,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
36,4.29751443862915,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
37,4.429160833358765,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
38,4.549839496612549,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
39,4.653563976287842,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
40,4.779228687286377,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
41,4.879987478256226,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
42,5.003626585006714,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
43,5.1322855949401855,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
44,5.238997459411621,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
45,5.371644973754883,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
46,5.506282091140747,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
47,5.624999523162842,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
48,5.740656137466431,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
49,5.849365472793579,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
50,5.983007907867432,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
51,6.122670650482178,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
52,6.2682459354400635,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
53,6.37397027015686,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
54,6.474694013595581,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
55,6.610331296920776,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
56,6.7509565353393555,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
57,6.886592626571655,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
58,7.032204627990723,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
59,7.1997904777526855,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
60,7.300487995147705,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
